CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2022-04-01;2023-03-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;Conselho de Administração;9.00;6.00;300000.00;50000.00;296000.00;Do total dos 9 membros que compõem o Conselho de Administração, 3 conselheiros são indicados ou mantém vínculos com acionistas e/ou diretores estatutários dos acionistas e, portanto, não são remunerados regularmente pela Companhia. A remuneração é paga regularmente, em base mensal, a 6 membros.
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;Diretoria Estatutária;3.00;3.00;3999326.34;1651290.28;2536711.74;O número de membros de cada órgão foi apurado da forma especificada no OFÍCIO CIRCULAR/ANUAL-2023- CVM/SEP. A maior remuneração da Diretoria foi percebida por membro que exerceu a função durante os 12 meses do exercício. O valor da menor remuneração anual individual da Diretoria foi percebido por membro que exerceu a função menos de 12 meses no exercício. A remuneração média considera o total da remuneração anual percebida pelos membros da Diretoria dividido pelo número de membros que compuseram este quadro.
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2021-04-01;2022-03-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;A Companhia não possui Conselho Fiscal instalado.
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;Conselho de Administração;11.00;7.00;300000.00;200000.00;231818.18;Do total dos 11 membros que compõem o Conselho de Administração, 9 conselheiros são indicados ou mantém vínculos com acionistas e/ou diretores estatutários dos acionistas e, portanto, não são remunerados regularmente pela Companhia, sendo que 5 deles são remunerados exclusivamente por participação em reuniões de comitês durante o exercício social. A remuneração é paga regularmente, em base mensal, a 2 membros independentes.
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;Diretoria Estatutária;3.00;3.00;7964160.16;2261733.19;4460466.58;O número de membros de cada órgão foi apurado da forma especificada no OFÍCIO CIRCULAR/ANUAL-2023- CVM/SEP. A maior remuneração da Diretoria foi percebida por membro que exerceu a função durante os 12 meses do exercício. O valor da menor remuneração anual individual da Diretoria foi percebido por membro que exerceu a função menos de 12 meses no exercício. A remuneração média considera o total da remuneração anual percebida pelos membros da Diretoria dividido pelo número de membros que compuseram este quadro. O número de membros de cada órgão foi apurado da forma especificada no OFÍCIO CIRCULAR/ANUAL-2022- CVM/SEP. A maior remuneração da Diretoria foi percebida por membro que exerceu a função durante os 12 meses do exercício. O valor da menor remuneração anual individual da Diretoria foi apurado considerando as remunerações efetivamente reconhecidas no resultado do exercício. A remuneração média considera o total da remuneração anual percebida pelos membros da Diretoria dividido pelo número de membros remunerados informado no item 13.2 do Formulário de Referência.
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;2020-04-01;2021-03-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;A Companhia não possui Conselho Fiscal instalado.
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2023-01-01;2023-12-31;Conselho de Administração;7.00;7.00;130808.93;2526.63;110520.55;
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2023-01-01;2023-12-31;Diretoria Estatutária;9.00;9.00;736706.61;174735.19;576824.73;
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;128225.25;2200.00;129546.50;
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;115000.00;45000.00;97142.86;
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;8.00;727539.12;183739.48;524026.70;
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;85000.00;30000.00;113000.00;
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2021-01-01;2021-12-31;Conselho de Administração;7.00;7.00;60000.00;20000.00;57571.43;
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;8.00;609236.56;242888.97;444889.97;
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;60000.00;5000.00;60000.00;
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2023-01-01;2023-12-31;Conselho de Administração;9.00;2.00;120926.00;120000.00;120463.00;Conselho Fiscal: A maior remuneração do Conselho Fiscal foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual do Conselho Fiscal foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros do Conselho Fiscal dividido pelo número de membros remunerados informado no item 8.2 acima.
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2023-01-01;2023-12-31;Diretoria Estatutária;11.00;3.00;2185785.25;1256794.90;1886236.48;Conselho Fiscal: A maior remuneração do Conselho Fiscal foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual do Conselho Fiscal foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros do Conselho Fiscal dividido pelo número de membros remunerados informado no item 8.2 acima.
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2023-01-01;2023-12-31;Conselho Fiscal;3.00;3.00;81199.08;81199.08;81199.08;Conselho Fiscal: A maior remuneração do Conselho Fiscal foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual do Conselho Fiscal foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros do Conselho Fiscal dividido pelo número de membros remunerados informado no item 8.2 acima.
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2022-01-01;2022-12-31;Conselho de Administração;8.00;2.00;170990.31;170990.31;170990.31;Conselho de Administração: A maior remuneração do Conselho de Administração foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual do Conselho de Administração foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros do Conselho de Administração dividido pelo número de membros remunerados informado no item 8.2 acima.
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2022-01-01;2022-12-31;Diretoria Estatutária;10.75;4.00;2532205.89;1322558.36;1471675.80;Diretoria Estatutária: A maior remuneração da Diretoria foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual da Diretoria foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros da Diretoria dividido pelo número de membros remunerados informado no item 8.2 acima.
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;58367.04;58367.04;58367.04;Conselho Fiscal: A maior remuneração do Conselho Fiscal foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual do Conselho Fiscal foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros do Conselho Fiscal dividido pelo número de membros remunerados informado no item 8.2 acima.
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2021-01-01;2021-12-31;Conselho de Administração;8.75;3.00;107970.75;107970.75;107970.75;Conselho de Administração: A maior remuneração do Conselho de Administração foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual do Conselho de Administração foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros do Conselho de Administração dividido pelo número de membros remunerados informado no item 8.2 acima.
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2021-01-01;2021-12-31;Diretoria Estatutária;8.42;4.00;2600083.54;902104.41;1467252.84;Diretoria Estatutária: A maior remuneração da Diretoria foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual da Diretoria foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros da Diretoria dividido pelo número de membros remunerados informado no item 8.2 acima.
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;2021-01-01;2021-12-31;Conselho Fiscal;3.00;3.00;64893.55;64893.55;64893.55;Conselho Fiscal: A maior remuneração do Conselho Fiscal foi percebida sem qualquer exclusão. O valor da menor remuneração anual individual do Conselho Fiscal foi apurado considerando as remunerações efetivamente reconhecidas no resultado dos exercícios com exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses. A remuneração média considera o total da remuneração anual percebida pelos membros do Conselho Fiscal dividido pelo número de membros remunerados informado no item 8.2 acima.
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2023-01-01;2023-12-31;Conselho de Administração;7.00;5.00;1085048.22;463323.63;681999.99;Nota: Para o cálculo do valor médio de remuneração individual do conselho de administração foi considerado o somatório da remuneração dos conselheiros dividido por cinco, que é quantidade média de membros do conselho de administração que foram remunerados e dois dos membros do conselho não obtiveram remuneração por todo o período.
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;5807004.83;3628244.33;4511871.44;Nota: (i) A remuneração dos membros da diretoria estatutária que também fazem parte do Conselho de Administração está contemplada na diretoria estatutária(ii) Os membros da Diretoria Estatutária com a maior e menor remuneração individual exerceram suas funções durante os 12 meses do exercício de 2023(iii) Considerou-se como remuneração da diretoria estatutária o somatório do pró-labore/salário, benefícios diretos/indiretos, outros e participação nos resultados
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2022-01-01;2022-12-31;Conselho de Administração;7.00;5.00;979461.86;413161.41;575360.68;Nota: Para o cálculo do valor médio de remuneração individual do conselho de administração foi considerado o somatório da remuneração dos conselheiros dividido por cinco, que é quantidade média de membros do conselho de administração que foram remunerados e dois dos membros do conselho não obtiveram remuneração por todo o período.
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;8.00;6640325.03;3603750.14;4912983.23;Nota: (i) A remuneração dos membros da diretoria estatutária que também fazem parte do Conselho de Administração está contemplada na diretoria estatutária(ii) Os membros da Diretoria Estatutária com a maior e menor remuneração individual exerceram suas funções durante os 12 meses do exercício de 2021(iii) Considerou-se como remuneração da diretoria estatutária o somatório do pró-labore/salário, benefícios diretos/indiretos, outros e participação nos resultados
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2021-01-01;2021-12-31;Conselho de Administração;6.00;4.00;933959.26;436464.00;633581.82;Nota: Para o cálculo do valor médio de remuneração individual do conselho de administração foi considerado o somatório da remuneração dos conselheiros dividido por quatro, que é quantidade média de membros do conselho de administração que foram remunerados e dois dos membros do conselho não obtiveram remuneração por todo o período.
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;6.00;4202363.38;2976286.54;3497893.79;Nota: (i) A remuneração dos membros da diretoria estatutária que também fazem parte do Conselho de Administração está contemplada na diretoria estatutária(ii) Os membros da Diretoria Estatutária com a maior e menor remuneração individual exerceram suas funções durante os 12 meses do exercício de 2021(iii) Considerou-se como remuneração da diretoria estatutária o somatório do pró-labore/salário, benefícios diretos/indiretos, outros e participação nos resultados
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;5.17;57264.31;0.01;56293.66;1.  O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses. 2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período. 3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente. CONSAD valor zero:  Para apuração da 'menor remuneração' foram excluídos os diretores/conselheiros que não exerceram o mandato em todo o período de apuração, foi considerado o diretor/conselheiro que esteve no cargo todos os meses no período de apuração (Ofício-Circular. CVM/SEP/Nº03/2012).
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;6.42;1190276.03;1174112.19;1096766.24;1.  O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses. 2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período. 3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente. 
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.33;3.33;57943.74;57943.74;58164.48;1.  O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses. 2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período. 3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente. 
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;4.50;70835.08;67788.40;67731.02;1. O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses. 2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período.3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente.
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;6.42;1088106.46;901044.76;1018025.85;1. O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses. 2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período.3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente.
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;66492.76;54279.84;58350.81;1. O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses. 2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período.3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente.
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;5.33;70835.04;70835.04;64351.36;1. O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses.2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período.3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente.
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;6.92;1011920.88;856717.45;948024.17;1. O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses.2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período.3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente.
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.50;3.50;54279.84;54279.84;58661.58;1. O valor da menor remuneração exclui os membros que exerceram o mandato por menos de 12 meses.2. O valor da maior remuneração considera todos os membros que exerceram o mandato no período.3. A quantidade de membros remunerados foi informada pela média anual do número de membros apurado mensalmente.
07.253.321/0001-47;2024-12-31;1;138042;CARBOMIL SA MINER. E INDUSTRIA;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;1000.00;1000.00;1000.00;
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;2023-01-01;2023-12-31;Conselho de Administração;3.00;3.00;15624.00;15624.00;15624.00;0
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;312324.00;312324.00;312324.00;0
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;14400.00;14400.00;14400.00;0
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;333324.00;333324.00;333324.00;
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;2021-01-01;2021-12-31;Conselho de Administração;3.00;3.00;13200.00;13200.00;13200.00;
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;332124.00;332124.00;332124.00;
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;740000.00;300000.00;486000.00;Para a demonstração da menor remuneração foi desconsiderado qualquer membro que não tenha exercido os 12 meses dentro do ano, conforme Ofício Circular nº 3/2019 da CVM.
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.33;5.33;21035385.00;1416788.00;6420916.00;Para a demonstração da menor remuneração foi desconsiderado qualquer membro que não tenha exercido os 12 meses dentro do ano, conforme Ofício Circular nº 3/2019 da CVM.
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;660000.00;300000.00;475200.00;Para a demonstração da menor remuneração foi desconsiderado qualquer membro que não tenha exercido os 12 meses dentro do ano, conforme Ofício Circular nº 3/2019 da CVM.
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.17;4.17;20807382.00;1722211.00;7620479.00;Para a demonstração da menor remuneração foi desconsiderado qualquer membro que não tenha exercido os 12 meses dentro do ano, conforme Ofício Circular nº 3/2019 da CVM.
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;2022-01-01;2022-12-31;Conselho Fiscal;1.25;1.25;57718.00;57718.00;57718.00;Para a demonstração da menor remuneração foi desconsiderado qualquer membro que não tenha exercido os 12 meses dentro do ano, conforme Ofício Circular nº 3/2019 da CVM.
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;5.00;917600.00;360000.00;670240.00;Para a demonstração da menor remuneração foi desconsiderado qualquer membro que não tenha exercido os 12 meses dentro do ano, conforme Ofício Circular nº 3/2019 da CVM.
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;7298918.00;1951961.00;4902515.00;Para a demonstração da menor remuneração foi desconsiderado qualquer membro que não tenha exercido os 12 meses dentro do ano, conforme Ofício Circular nº 3/2019 da CVM.
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;3.00;202811.00;202811.00;202811.00;Para a demonstração da menor remuneração foi desconsiderado qualquer membro que não tenha exercido os 12 meses dentro do ano, conforme Ofício Circular nº 3/2019 da CVM.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2023-01-01;2023-12-31;Conselho de Administração;12.67;7.33;12998750.00;864098.00;2558758.00;- A média de remuneração do Conselho de Administração apresentada neste item é calculada com base no número de membros do Conselho de Administração (7,33 membros) que recebem remuneração da Companhia pelo exercício de sua atividade.- Inclui remuneração baseada em ações da Companhia e do Controlador.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;13.50;13.50;30929473.00;4491204.00;8459894.00;- A média de remuneração da Diretoria Estatutária apresentada neste item é calculada com base no número de membros da Diretoria Estatutária (13,50 membros) que recebem remuneração da Companhia pelo exercício de sua atividade.- Inclui remuneração baseada em ações da Companhia e do Controlador.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;6.00;473093.00;236547.00;354820.00;- Foram considerados os 3 membros titulares e os 3 membros suplentes do Conselho Fiscal.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2022-01-01;2022-12-31;Conselho de Administração;12.00;8.00;14155409.00;679357.00;2855532.00;'- A média de remuneração do Conselho de Administração apresentada neste item é calculada com base no número de membros do Conselho de Administração (8,00 membros) que recebem remuneração da Companhia pelo exercício de sua atividade.- Inclui remuneração baseada em ações da Companhia e do Controlador.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;14.00;14.00;25226847.00;3489535.00;6809657.00;'- A média de remuneração da Diretoria Estatutária apresentada neste item é calculada com base no número de membros da Diretoria Estatutária (14,00 membros) que recebem remuneração da Companhia pelo exercício de sua atividade.- Inclui remuneração baseada em ações da Companhia e do Controlador.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2022-01-01;2022-12-31;Conselho Fiscal;6.00;6.00;443668.00;221834.00;332751.00;'- Foram considerados os 3 membros titulares e os 3 membros suplentes do Conselho Fiscal.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2021-01-01;2021-12-31;Conselho de Administração;12.00;8.50;12250056.24;501488.00;3010756.82;- A média de remuneração do Conselho de Administração apresentada neste item é calculada com base no número de membros do Conselho de Administração (8,50 membros) que recebem remuneração da Companhia pelo exercício de sua atividade.- Inclui remuneração baseada em ações da Companhia e do Controlador.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;13.00;13.00;23046749.40;2539606.70;6435739.15;'- A média de remuneração da Diretoria Estatutária apresentada neste item é calculada com base no número de membros da Diretoria Estatutária (13,00 membros) que recebem remuneração da Companhia pelo exercício de sua atividade.- Inclui remuneração baseada em ações da Companhia e do Controlador.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;2021-01-01;2021-12-31;Conselho Fiscal;6.00;6.00;401807.20;200903.60;301355.40;- Foram considerados os 3 membros titulares e os 3 membros suplentes do Conselho Fiscal.- O membro que recebeu a maior remuneração individual exerceu suas funções na Companhia por 12 meses.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0.00;0.00;0.00;Os membros do Conselho de Administração da Companhia não são remunerados.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;33527129.10;4689139.56;14299253.67;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses. A Companhia esclarece, ainda, que o valor da maior remuneração da Diretoria Estatutária no exercício de 2023, conforme indicada acima, reflete uma outorga adicional de opções de ações no âmbito do plano de incentivo de longo prazo da Companhia, conforme descrito no item 8.4 deste Formulário de Referência, por conta do prazo de vesting de tais opções. Ressalta-se que o limite global da remuneração da Companhia foi ajustado em função desta outorga, tendo sido aprovado em Assembleia Geral Extraordinária realizada pela Companhia em 25 de setembro de 2023.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;3.00;152810.28;152810.28;152810.28;O conselho fiscal da Companhia foi instalado em abril de 2023.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0.00;0.00;0.00;Os membros do Conselho de Administração da Companhia não são remunerados.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;4996400.34;4486400.51;4660024.64;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;A Companhia não possuía Conselho Fiscal instalado.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2021-01-01;2021-12-31;Conselho de Administração;8.00;0.00;0.00;0.00;0.00;Os membros do Conselho de Administração da Companhia não são remunerados.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.50;2.50;8842361.31;6464212.23;7653286.77;Foram excluídos dos cálculos de remuneração mínima os administradores que exerceram o cargo por menos de 12 meses. O membro que percebeu a maior remuneração exerceu suas funções na Companhia por 12 meses.
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;A Companhia não possuía Conselho Fiscal instalado.
