CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;Liderança;200;106;0;0;0
06.047.087/0001-39;2024-12-31;6;142126;REDE D'OR SÃO LUIZ S.A.;Não-liderança;53735;17809;0;0;0
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;Liderança;3143;4421;0;0;0
06.057.223/0001-71;2024-12-31;10;141979;SENDAS DISTRIBUIDORA S.A.;Não-liderança;36227;36586;0;0;0
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;Liderança;166;290;0;0;0
06.164.253/0001-87;2024-12-31;8;142138;GOL LINHAS AEREAS INTELIGENTES S.A.;Não-liderança;5982;7873;0;0;0
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Liderança;48;161;0;0;0
06.272.793/0001-84;2024-12-31;9;142010;EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;423;867;0;0;0
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;Liderança;1540;970;0;0;0
06.626.253/0001-51;2024-12-31;4;141765;EMPREENDIMENTOS PAGUE MENOS S.A.;Não-liderança;13749;9371;0;0;0
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;Liderança;0;0;0;0;0
06.981.176/0001-58;2024-12-31;2;138774;CEMIG GERACAO E TRANSMISSAO S.A.;Não-liderança;0;0;0;0;0
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;Liderança;0;0;0;0;0
06.981.180/0001-16;2024-12-31;7;141959;CEMIG DISTRIBUICAO S.A.;Não-liderança;0;0;0;0;0
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Liderança;0;0;0;0;83
06.981.381/0001-13;2024-03-31;11;141302;CTC - CENTRO DE TECNOLOGIA CANAVIEIRA S.A.;Não-liderança;0;0;0;0;387
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Liderança;184;232;0;0;0
07.040.108/0001-57;2024-12-31;3;139580;CAGECE - CIA DE AGUA E ESGOTO DO CEARA;Não-liderança;243;503;0;0;0
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;Liderança;0;0;0;0;1
07.043.628/0001-13;2024-12-31;2;139220;CLARO TELECOM PARTICIPAÇÕES S.A.;Não-liderança;0;0;0;0;1
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;Liderança;19;83;0;0;0
07.047.251/0001-70;2024-12-31;7;141507;CIA ENERGETICA DO CEARA - COELCE;Não-liderança;245;1131;0;0;0
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Liderança;382;1130;0;0;0
07.206.816/0001-15;2024-12-31;2;141531;M.DIAS BRANCO S.A. IND COM DE ALIMENTOS;Não-liderança;4411;10757;0;0;0
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;Liderança;727;2098;0;0;0
07.237.373/0001-20;2024-12-31;8;141801;BCO NORDESTE DO BRASIL S.A.;Não-liderança;1436;2418;0;0;0
07.253.321/0001-47;2024-12-31;1;138042;CARBOMIL SA MINER. E INDUSTRIA;Liderança;0;4;0;0;0
07.253.321/0001-47;2024-12-31;1;138042;CARBOMIL SA MINER. E INDUSTRIA;Não-liderança;0;10;0;0;0
07.275.159/0001-68;2024-12-31;1;137398;PETROLEO LUB DO NORDESTE SA;Liderança;0;1;0;0;0
07.275.159/0001-68;2024-12-31;1;137398;PETROLEO LUB DO NORDESTE SA;Não-liderança;0;1;0;0;0
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;Liderança;0;0;0;0;2
07.334.600/0001-35;2024-12-31;1;137748;MARINA DE IRACEMA PARK SA;Não-liderança;0;0;0;0;202
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;Liderança;776;1989;0;0;0
07.415.333/0001-20;2024-12-31;2;139545;SIMPAR S.A.;Não-liderança;8502;31599;0;0;0
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;Liderança;1892;2626;6;0;2024
07.526.557/0001-00;2024-12-31;2;141587;AMBEV S.A.;Não-liderança;2484;8988;3;18;6982
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Liderança;262;351;2;4;117
07.594.978/0001-78;2024-12-31;3;140811;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;Não-liderança;1966;2541;17;20;3058
07.628.528/0001-59;2024-06-30;5;141689;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Liderança;12;44;0;1;0
07.628.528/0001-59;2024-06-30;5;141689;BRASILAGRO - CIA BRAS DE PROP AGRICOLAS;Não-liderança;50;55;0;4;0
07.689.002/0001-89;2024-12-31;5;142133;EMBRAER S.A.;Liderança;164;827;0;0;0
07.689.002/0001-89;2024-12-31;5;142133;EMBRAER S.A.;Não-liderança;3340;14220;0;0;21
07.704.246/0001-93;2024-12-31;1;138537;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Liderança;25;57;0;0;0
07.704.246/0001-93;2024-12-31;1;138537;DATORA PARTICIPAÇÕES E SERVIÇOS S.A.;Não-liderança;76;119;0;0;0
07.714.104/0001-07;2024-12-31;7;141457;GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.;Liderança;118;262;0;1;31
07.714.104/0001-07;2024-12-31;7;141457;GIGA MAIS FIBRA TELECOMUNICAÇÕES S.A.;Não-liderança;1673;2538;14;29;374
07.816.890/0001-53;2024-12-31;5;141974;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Liderança;19;30;0;0;0
07.816.890/0001-53;2024-12-31;5;141974;MULTIPLAN - EMPREEND IMOBILIARIOS S.A.;Não-liderança;151;175;0;0;0
07.820.907/0001-46;2024-12-31;4;139445;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Liderança;2;0;0;0;0
07.820.907/0001-46;2024-12-31;4;139445;FICA EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Não-liderança;1;0;0;0;0
07.857.093/0001-14;2024-12-31;5;141589;AURA MINERALS INC.;Liderança;46;219;0;0;0
07.857.093/0001-14;2024-12-31;5;141589;AURA MINERALS INC.;Não-liderança;197;796;0;0;0
07.857.850/0001-50;2024-12-31;4;139390;GP INVESTMENTS, LTD.;Liderança;3;7;0;0;0
07.857.850/0001-50;2024-12-31;4;139390;GP INVESTMENTS, LTD.;Não-liderança;9;17;0;0;0
07.859.971/0001-30;2024-12-31;6;141952;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Liderança;23;67;0;0;0
07.859.971/0001-30;2024-12-31;6;141952;TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.;Não-liderança;149;612;0;0;0
07.882.930/0001-65;2024-12-31;1;138111;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Liderança;38;29;0;0;0
07.882.930/0001-65;2024-12-31;1;138111;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Não-liderança;134;341;0;0;0
07.976.147/0001-60;2024-12-31;6;141890;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Liderança;259;359;0;0;0
07.976.147/0001-60;2024-12-31;6;141890;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;Não-liderança;1961;2667;0;0;0
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;Liderança;21;21;0;0;0
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;Não-liderança;97;321;0;0;0
08.078.847/0001-09;2024-12-31;2;139086;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Liderança;25;32;0;0;34
08.078.847/0001-09;2024-12-31;2;139086;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;Não-liderança;120;77;0;1;68
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;Liderança;128;215;0;0;0
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;Não-liderança;558;1611;0;0;0
08.170.849/0001-15;2024-12-31;9;142021;DESKTOP S.A.;Liderança;143;344;0;0;0
08.170.849/0001-15;2024-12-31;9;142021;DESKTOP S.A.;Não-liderança;1516;2001;0;0;0
08.262.121/0001-13;2024-12-31;3;139558;ALUBAR METAIS E CABOS S.A.;Liderança;7;48;0;0;0
08.262.121/0001-13;2024-12-31;3;139558;ALUBAR METAIS E CABOS S.A.;Não-liderança;88;690;0;0;0
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;Liderança;165;190;0;0;0
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;Não-liderança;875;1474;0;0;0
08.312.229/0001-73;2024-12-31;5;141140;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Liderança;23;23;0;0;0
08.312.229/0001-73;2024-12-31;5;141140;EZ TEC EMPREEND. E PARTICIPACOES S.A.;Não-liderança;155;676;0;0;0
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;Liderança;7;48;0;0;0
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;Não-liderança;266;1512;0;0;0
08.324.196/0001-81;2024-12-31;6;141947;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Liderança;28;55;0;0;0
08.324.196/0001-81;2024-12-31;6;141947;CIA ENERGETICA DO RIO GDE NORTE - COSERN;Não-liderança;215;763;0;0;0
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;Liderança;666;830;0;0;0
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;Não-liderança;3295;13017;0;0;0
08.364.948/0001-38;2024-12-31;6;141683;ALUPAR INVESTIMENTO S/A;Liderança;6;8;0;0;0
08.364.948/0001-38;2024-12-31;6;141683;ALUPAR INVESTIMENTO S/A;Não-liderança;27;11;0;0;0
08.397.078/0001-01;2024-12-31;2;139376;GSH CORP PARTICIPAÇÕES S.A.;Liderança;130;39;0;0;39
08.397.078/0001-01;2024-12-31;2;139376;GSH CORP PARTICIPAÇÕES S.A.;Não-liderança;921;272;8;10;345
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;Liderança;1128;665;4;0;27
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;Não-liderança;16619;8632;59;0;1113
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;Liderança;0;1;0;0;0
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;Não-liderança;0;1;0;0;0
08.439.659/0001-50;2024-12-31;5;141238;CPFL ENERGIAS RENOVÁVEIS S.A.;Liderança;23;86;0;0;0
08.439.659/0001-50;2024-12-31;5;141238;CPFL ENERGIAS RENOVÁVEIS S.A.;Não-liderança;133;377;0;0;0
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Liderança;9;59;0;0;0
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;Não-liderança;202;576;0;0;0
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;Liderança;5;13;0;0;0
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;Não-liderança;25;69;0;0;0
08.574.411/0001-00;2024-12-31;2;139904;PRÁTICA PRODUTOS S.A.;Liderança;18;67;0;0;0
08.574.411/0001-00;2024-12-31;2;139904;PRÁTICA PRODUTOS S.A.;Não-liderança;131;382;0;0;0
08.764.621/0001-53;2024-12-31;2;141273;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Liderança;6;10;0;0;0
08.764.621/0001-53;2024-12-31;2;141273;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;Não-liderança;41;26;0;0;0
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;Liderança;9;16;0;0;0
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;Não-liderança;66;50;0;0;0
08.773.191/0001-36;2024-12-31;1;138411;BRASILIANA PARTICIPAÇÕES S/A;Liderança;0;0;0;0;1
08.773.191/0001-36;2024-12-31;1;138411;BRASILIANA PARTICIPAÇÕES S/A;Não-liderança;0;0;0;0;1
08.795.211/0001-70;2024-12-31;4;141995;MAESTRO LOCADORA DE VEICULOS S.A.;Liderança;6;13;0;0;0
08.795.211/0001-70;2024-12-31;4;141995;MAESTRO LOCADORA DE VEICULOS S.A.;Não-liderança;29;38;0;0;0
08.797.760/0001-83;2024-12-31;6;141449;CURY CONSTRUTORA E INCORPORADORA S.A.;Liderança;79;153;0;0;0
08.797.760/0001-83;2024-12-31;6;141449;CURY CONSTRUTORA E INCORPORADORA S.A.;Não-liderança;426;1895;0;0;0
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;Liderança;39;55;0;0;0
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;Não-liderança;149;104;0;0;0
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;Liderança;797;597;1;6;63
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;Não-liderança;8146;6662;34;90;776
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;Liderança;0;0;0;0;100
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;Não-liderança;0;0;0;0;272
08.902.291/0001-15;2024-12-31;4;141455;CSN MINERAÇÃO S.A.;Liderança;37;293;0;0;0
08.902.291/0001-15;2024-12-31;4;141455;CSN MINERAÇÃO S.A.;Não-liderança;1888;5800;0;0;0
08.935.054/0001-50;2024-12-31;2;141534;MULTINER S/A;Liderança;1;13;0;0;0
08.935.054/0001-50;2024-12-31;2;141534;MULTINER S/A;Não-liderança;5;1;0;0;0
09.041.168/0001-10;2024-12-31;7;141993;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Liderança;25;53;0;0;0
09.041.168/0001-10;2024-12-31;7;141993;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;Não-liderança;135;601;0;0;0
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;Liderança;47;116;0;0;0
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;Não-liderança;231;475;0;0;0
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;Liderança;0;0;0;0;273
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;Não-liderança;0;0;0;0;2291
09.054.385/0001-44;2024-12-31;1;138861;INBRANDS S.A.;Liderança;141;119;0;0;0
09.054.385/0001-44;2024-12-31;1;138861;INBRANDS S.A.;Não-liderança;1022;585;0;0;0
09.074.183/0001-64;2024-12-31;1;138781;TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA S.A;Liderança;7;22;0;0;0
09.074.183/0001-64;2024-12-31;1;138781;TRANSBRASILIANA CONCESSIONÁRIA DE RODOVIA S.A;Não-liderança;155;202;0;0;0
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;1;1;0;0;0
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;4;1;0;0;0
09.114.805/0001-30;2024-12-31;3;140413;OCEANPACT SERVIÇOS MARITIMOS S.A.;Liderança;88;462;0;0;0
09.114.805/0001-30;2024-12-31;3;140413;OCEANPACT SERVIÇOS MARITIMOS S.A.;Não-liderança;245;1115;0;0;0
09.146.451/0001-06;2024-12-31;4;141532;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Liderança;3;0;0;0;0
09.146.451/0001-06;2024-12-31;4;141532;KALLAS INCORPORAÇÕES E CONSTRUÇÕES S.A.;Não-liderança;239;867;0;0;0
09.229.201/0001-30;2024-12-31;2;142001;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Liderança;651;1329;0;0;0
09.229.201/0001-30;2024-12-31;2;142001;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Não-liderança;45525;99225;0;0;0
09.257.877/0001-37;2024-12-31;2;140569;FERROVIA NORTE SUL S/A;Liderança;5;31;0;0;0
09.257.877/0001-37;2024-12-31;2;140569;FERROVIA NORTE SUL S/A;Não-liderança;113;597;0;0;0
09.267.996/0001-70;2024-12-31;2;139356;YUNY INCORPORADORA HOLDING S.A.;Liderança;18;12;0;0;0
09.267.996/0001-70;2024-12-31;2;139356;YUNY INCORPORADORA HOLDING S.A.;Não-liderança;25;15;0;0;0
09.288.252/0001-32;2024-12-31;5;141714;ANIMA HOLDING S.A.;Liderança;692;508;0;0;0
09.288.252/0001-32;2024-12-31;5;141714;ANIMA HOLDING S.A.;Não-liderança;8303;6250;0;0;0
09.295.063/0001-97;2024-12-31;4;141361;TECHNOS S.A.;Liderança;19;36;0;0;0
09.295.063/0001-97;2024-12-31;4;141361;TECHNOS S.A.;Não-liderança;339;229;0;0;0
09.305.994/0001-29;2024-12-31;6;141662;AZUL S.A.;Liderança;1309;2134;0;0;0
09.305.994/0001-29;2024-12-31;6;141662;AZUL S.A.;Não-liderança;5185;7382;0;0;0
09.346.601/0001-25;2024-12-31;6;141975;B3 S.A. - BRASIL, BOLSA, BALCÃO;Liderança;176;344;0;0;0
09.346.601/0001-25;2024-12-31;6;141975;B3 S.A. - BRASIL, BOLSA, BALCÃO;Não-liderança;866;1371;0;0;0
09.347.516/0001-81;2024-12-31;3;141673;ELETROMIDIA S.A.;Liderança;38;98;0;0;0
09.347.516/0001-81;2024-12-31;3;141673;ELETROMIDIA S.A.;Não-liderança;181;509;7;0;0
09.414.761/0001-64;2024-12-31;3;141468;K-INFRA RODOVIA DO AÇO S.A.;Liderança;14;18;0;0;0
09.414.761/0001-64;2024-12-31;3;141468;K-INFRA RODOVIA DO AÇO S.A.;Não-liderança;144;232;0;0;0
09.527.023/0001-23;2024-12-31;2;139424;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Liderança;254;728;0;0;0
09.527.023/0001-23;2024-12-31;2;139424;ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.;Não-liderança;1455;6436;0;3;0
09.538.973/0001-53;2024-12-31;3;141901;PDG COMPANHIA SECURITIZADORA;Liderança;0;0;0;0;0
09.538.973/0001-53;2024-12-31;3;141901;PDG COMPANHIA SECURITIZADORA;Não-liderança;0;0;0;0;0
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Liderança;13;21;0;0;0
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;Não-liderança;177;612;0;0;0
09.813.204/0001-16;2024-12-31;1;138763;W2W E-COMMERCE DE VINHOS S.A.;Liderança;39;41;0;1;0
09.813.204/0001-16;2024-12-31;1;138763;W2W E-COMMERCE DE VINHOS S.A.;Não-liderança;188;195;3;1;7
10.139.870/0001-08;2024-12-31;6;141742;NEOGRID PARTICIPAÇÕES S.A.;Liderança;66;100;0;0;0
10.139.870/0001-08;2024-12-31;6;141742;NEOGRID PARTICIPAÇÕES S.A.;Não-liderança;325;420;0;0;0
10.285.590/0001-08;2024-12-31;1;138827;GRUPO DE MODA SOMA S.A.;Liderança;823;388;0;0;0
10.285.590/0001-08;2024-12-31;1;138827;GRUPO DE MODA SOMA S.A.;Não-liderança;8922;3148;0;0;0
10.324.624/0001-18;2024-12-31;2;138909;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;Liderança;27;141;0;0;0
10.324.624/0001-18;2024-12-31;2;138909;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;Não-liderança;450;1538;0;0;0
10.338.320/0001-00;2024-12-31;1;137716;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Liderança;0;2;0;0;0
10.338.320/0001-00;2024-12-31;1;137716;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;Não-liderança;0;3;0;0;0
10.488.244/0001-19;2024-12-31;1;138293;INFRASEC SECURITIZADORA S.A.;Liderança;0;1;0;0;0
10.488.244/0001-19;2024-12-31;1;138293;INFRASEC SECURITIZADORA S.A.;Não-liderança;0;1;0;0;0
10.502.676/0001-37;2024-12-31;3;141444;TERMELÉTRICA PERNAMBUCO III S.A.;Liderança;0;12;0;0;0
10.502.676/0001-37;2024-12-31;3;141444;TERMELÉTRICA PERNAMBUCO III S.A.;Não-liderança;4;26;0;0;0
10.571.175/0001-02;2024-12-31;3;140587;URBA DESENVOLVIMENTO URBANO S.A.;Liderança;28;31;0;0;0
10.571.175/0001-02;2024-12-31;3;140587;URBA DESENVOLVIMENTO URBANO S.A.;Não-liderança;90;115;0;0;0
10.629.105/0001-68;2024-12-31;2;139065;PRIO S.A.;Liderança;19;126;0;0;0
10.629.105/0001-68;2024-12-31;2;139065;PRIO S.A.;Não-liderança;110;487;0;0;0
10.635.691/0001-53;2024-12-31;2;138986;VIARONDON CONCESSIONÁRIA DE RODOVIA S.A.;Liderança;31;60;0;0;0
10.635.691/0001-53;2024-12-31;2;138986;VIARONDON CONCESSIONÁRIA DE RODOVIA S.A.;Não-liderança;243;347;0;0;0
10.739.356/0001-03;2024-12-31;3;141965;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;Liderança;10;47;0;0;0
10.739.356/0001-03;2024-12-31;3;141965;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.;Não-liderança;34;67;0;0;0
10.760.260/0001-19;2024-12-31;8;141733;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Liderança;78;71;0;0;171
10.760.260/0001-19;2024-12-31;8;141733;CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS S.A.;Não-liderança;541;254;2;0;1011
10.807.374/0001-77;2024-12-31;6;141920;BOA SAFRA SEMENTES S.A.;Liderança;13;53;0;0;0
10.807.374/0001-77;2024-12-31;6;141920;BOA SAFRA SEMENTES S.A.;Não-liderança;135;445;0;0;0
10.835.932/0001-08;2024-12-31;1;137848;CIA ENERGETICA DE PERNAMBUCO - CELPE;Liderança;75;137;0;0;0
10.835.932/0001-08;2024-12-31;1;137848;CIA ENERGETICA DE PERNAMBUCO - CELPE;Não-liderança;604;2610;0;0;0
11.284.204/0001-18;2024-12-31;1;138527;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;Liderança;15;20;0;0;0
11.284.204/0001-18;2024-12-31;1;138527;YOU INC INCORPORADORA E PARTICIPAÇÃO S.A;Não-liderança;37;24;0;0;0
11.421.994/0001-36;2024-12-31;6;141758;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;Liderança;55;177;0;0;0
11.421.994/0001-36;2024-12-31;6;141758;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.;Não-liderança;348;1376;0;0;0
11.669.021/0001-10;2024-12-31;4;142083;ENAUTA PARTICIPAÇÕES S.A.;Liderança;24;41;0;0;0
11.669.021/0001-10;2024-12-31;4;142083;ENAUTA PARTICIPAÇÕES S.A.;Não-liderança;47;46;0;1;4
11.721.921/0001-60;2024-12-31;4;141141;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Liderança;100;95;0;0;0
11.721.921/0001-60;2024-12-31;4;141141;ALPER CONSULTORIA E CORRETORA DE SEGUROS S.A.;Não-liderança;580;237;0;0;0
11.992.680/0001-93;2024-12-31;4;142044;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Liderança;123;93;0;0;0
11.992.680/0001-93;2024-12-31;4;142044;QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.;Não-liderança;1091;469;0;0;0
12.049.631/0001-84;2024-12-31;4;139918;MOURA DUBEUX ENGENHARIA S/A;Liderança;57;88;0;0;0
12.049.631/0001-84;2024-12-31;4;139918;MOURA DUBEUX ENGENHARIA S/A;Não-liderança;494;4445;0;0;0
12.091.809/0001-55;2024-12-31;7;141817;3R PETROLEUM ÓLEO E GÁS S.A.;Liderança;31;163;0;0;0
12.091.809/0001-55;2024-12-31;7;141817;3R PETROLEUM ÓLEO E GÁS S.A.;Não-liderança;194;392;0;0;0
12.104.241/0004-02;2024-12-31;11;141882;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Liderança;485;202;0;0;0
12.104.241/0004-02;2024-12-31;11;141882;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.;Não-liderança;6116;1755;0;0;0
12.108.897/0001-50;2024-12-31;4;140378;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Liderança;542;242;0;0;0
12.108.897/0001-50;2024-12-31;4;140378;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.;Não-liderança;2316;1061;0;0;0
12.181.987/0001-77;2024-12-31;6;141712;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Liderança;44;67;0;0;0
12.181.987/0001-77;2024-12-31;6;141712;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.;Não-liderança;292;364;0;0;0
12.300.288/0001-07;2024-12-31;5;141513;NORTE ENERGIA S.A.;Liderança;4;15;0;4;0
12.300.288/0001-07;2024-12-31;5;141513;NORTE ENERGIA S.A.;Não-liderança;111;290;1;20;20
12.420.164/0001-57;2024-12-31;6;141967;CM HOSPITALAR S.A;Liderança;320;386;0;0;1
12.420.164/0001-57;2024-12-31;6;141967;CM HOSPITALAR S.A;Não-liderança;3133;2714;11;11;92
12.528.708/0001-07;2024-12-31;3;141667;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;Liderança;60;264;0;0;0
12.528.708/0001-07;2024-12-31;3;141667;AERIS IND. E COM. DE EQUIP. PARA GER. DE ENG. S.A.;Não-liderança;1108;4712;0;0;0
12.648.266/0001-24;2024-12-31;6;142019;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Liderança;628;1472;0;0;0
12.648.266/0001-24;2024-12-31;6;142019;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.;Não-liderança;2490;9982;0;4;0
12.648.327/0001-53;2024-12-31;9;142156;HIDROVIAS DO BRASIL S.A.;Liderança;40;32;0;0;0
12.648.327/0001-53;2024-12-31;9;142156;HIDROVIAS DO BRASIL S.A.;Não-liderança;65;51;0;0;0
13.009.717/0001-46;2024-12-31;5;142035;BCO ESTADO DE SERGIPE S.A. - BANESE;Liderança;157;213;0;0;0
13.009.717/0001-46;2024-12-31;5;142035;BCO ESTADO DE SERGIPE S.A. - BANESE;Não-liderança;208;327;0;0;0
13.217.485/0001-11;2024-12-31;3;141452;GRUPO SBF S.A.;Liderança;499;543;0;0;0
13.217.485/0001-11;2024-12-31;3;141452;GRUPO SBF S.A.;Não-liderança;4338;3858;0;0;0
