CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;126116;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2017-04-19;;2017-04-19;Os serviços contratados junto ao auditor independente foram:Auditoria das demonstrações financeiras consolidadas referente ao exercício social encerrado em 31 de dezembro de 2023 da Companhia. Revisão limitada das informações financeiras trimestrais da Companhia e de sua controlada JHSF Malls S.A. para o período de três meses findo em 31 de março, 30 de junho e 30 de setembro de 2023.;Auditoria das demonstrações financeiras anuais e trimestrais da JHSF Participações S.A. - R$880.846,37.Auditoria das demonstrações financeiras anuais e trimestrais da JHSF Malls S.A. - R$464.190,23.;N/A;N/A
08.312.229/0001-73;2024-12-31;5;141140;EZ TEC EMPREEND. E PARTICIPACOES S.A.;126235;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2020-04-02;;2021-01-01;Auditoria das Demonstrações Financeiras do exercício social encerrado em 31 de dezembro de 2022. Revisão das Informações Trimestrais - ITR para os períodos encerrados em 31 de março, 30 de junho e 30 de setembro de 2022. A Companhia informa que os auditores independentes não foram contratados para prestar serviços extra-auditoria.;No exercício social encerrado em 31 de dezembro de 2022, os auditores independentes receberam honorários no valor total de R$400.000,00, referentes aos serviços de auditoria externa.;Não aplicável;Não aplicável
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;125221;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2021-07-30;;2021-07-30;Serviços prestados à Companhia, referentes aos últimos três exercícios sociais: (i) auditoria das demonstrações financeiras individuais e consolidadas da Companhia para os exercícios sociais encerrados em 31 de março de 2023, 2022 e 2021, e revisões das Informações Trimestrais de 30 de junho, 30 de setembro e 31 de dezembro de 2022, 2021 e 2020 (ii) Auditoria das demonstrações financeiras individuais e consolidadas em 31 de março de 2019, 2020 e 2021 (reemissão), para fins de registro na CVM (iii) Emissão de Confort letter - IPO (iv) Emissão de Confort letter - CRA (v) Serviço de asseguração e (vi) Serviço de consultoria com foco no agronegócio;Honorários cobrados pelos serviços prestados à Companhia, referente ao último exercício social totalizaram R$1.381 mil, sendo: i) R$719 mil, referente a serviços de auditoria das demonstrações financeiras individuais e consolidadas da Companhia para o exercício sociail encerrado em 31 de março de 2023, e revisões das Informações Trimestrais de 30 de junho, 30 de setembro e 31 de dezembro de 2022 ii) R$563 mil, referente a serviços de asseguração e (iii) R$99 mil, referente a consultoria com foco no agronegócio.;Não aplicável, haja vista que não houve a substituição do auditor independente.;Não aplicável, haja vista que não houve a substituição do auditor independente.
08.324.196/0001-81;2024-12-31;6;141947;CIA ENERGETICA DO RIO GDE NORTE - COSERN;127043;Deloitte Touche Tohmatsu Auditores Independentes Ltda;;49928567000200;003859;Nacional;2022-03-01;;2022-03-01;Adicionalmente, em atendimento à Resolução CVM nº 162/2022, informamos que no exercício social encerrado em31 de dezembro de 2023, a Companhia declara que mantém contratos com a Deloitte Touche Tohmatsu AuditoresIndependentes firmados em 01/03/2022, com vigência até 31/03/2027.Contratação para a prestação de serviços de auditoria, com a finalidade de emitir parecer sobre as demonstraçõesfinanceiras societárias da Companhia. O objetivo da auditoria é o de expressar uma opinião sobre se asdemonstrações financeiras estão apresentadas adequadamente, em todos os aspectos relevantes, de acordo comas práticas contábeis adotadas no Brasil e as especificidades do Setor Elétrico Brasileiro. A seguir, o escopodetalhado dos serviços da Deloitte Touche Tohmatsu Auditores Independentes:1. Revisão das Informações Financeiras trimestrais2. Auditoria das Demonstrações Financeiras anuais3. Revisão do Relatório de Controle Patrimonial ????RCP4. Auditoria das Demonstrações Financeiras Regulatórias5. Auditoria do Fluxo de Caixa Dividendos e6. Covenants;Em 2023, a Deloitte Touche Tohmatsu Auditores Independentes prestou serviços de auditoria pelo montante de R$ 462.223,00 dos quais R$373.334,00 referem-se à auditoria das demonstrações financeiras (incluindo revisões trimestrais), R$ 44.445,00 referem-se à auditoria das demonstrações regulatórias, R$ 17.778,00 referem- se a auditoria do relatório de controle patrimonial, R$ 13.333 referem- se a auditoria do fluxo de caixa dividendos eR$ 13.333 referem- se a Covenants.;Rotatividade dos auditores independentes, prevista pelo art. 31 da Instrução 308 da CVM.;Não aplicável.
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;126655;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2023-01-01;;2023-01-01;Os serviços contratados junto aos auditores independentes foram: (I) a auditoria das demonstrações financeiras para o exercício encerrado em 31.12.2023 (II) revisão dos trimestres findos em 31.03.2023, 30.06.2023 e 30.09.2023. Estes relatórios serão emitidos na língua inglesa e portuguesa. (III) revisão dos papéis de trabalho do auditor independente referente à audioria da MRV US, para fins de auditoria de grupo e (IV) procedimentos adicionais de auditoria não previstos referentes a RESIA.;No exercício social findo em 31 de dezembro de 2023, a remuneração para os serviços descritos acima foi de: (I) R$502.291,00 (II) R$285.633,00 (III) R$52.895,00 e (IV) R$100.000,00.;Nos termos da Resolução CVM nº 23, de 25 de fevereiro de 2021, é obrigatória a substituição dos auditores independentes, no máximo, a cada cinco exercícios sociais, sendo que os mesmos auditores não podem ser recontratados por um período mínimo de três exercícios sociais.;Não aplicável.
08.364.948/0001-38;2024-12-31;6;141683;ALUPAR INVESTIMENTO S/A;126756;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2019-01-24;;2019-01-01;Os auditores independentes foram contratados para prestar serviços de auditoria das demonstrações financeiras individuais e consolidadas da Companhia, referentes ao exercício social encerrado em 31 de dezembro de 2023, bem como revisão das informações trimestrais (ITR) referentes aos períodos findos em 31 de março, 30 de junho e 30 de setembro de 2023, preparadas de acordo com as práticas contábeis adotadas no Brasil e as normas internacionais de contabilidade International Financial Reporting Standards (IFRS), emitidas pelo International Accounting Standards Board (IASB) e a IAS 34 aplicável à elaboração de Informações Trimestrais (ITR).;A remuneração total dos auditores independentes considerando os serviços prestados listados anteriormente foi de R$2.121.019,00.;A substituição da Ernst & Young Auditores Independentes S/S Ltda. como auditor independente da Companhia, se deve à obrigatória rotatividade de auditores independentes após o decurso do prazo de 5 anos, a qual contou com a manifesta anuência da Ernst & Young Auditores Independentes S/S Ltda., nos termos do artigo 28 da Resolução CVM nº 23, de 25 de fevereiro de 2021.;Não aplicável.
08.364.948/0001-38;2024-12-31;6;141683;ALUPAR INVESTIMENTO S/A;126757;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2024-01-02;;2024-01-01;Os auditores independentes prestarão os seguintes serviços para a Companhia: (i) auditoria das demonstrações financeiras consolidadas referentes aos exercícios sociais a se encerrarem em 31 de dezembro de 2024 e 2025 (ii) revisões das informações contábeis trimestrais (ITRs) para os períodos a se findarem em 31 de março, 30 de junho e 30 de setembro de 2024 e 2025.;Considerando que o início das atividades da KPMG se dará em 2024, não houve remuneração dos auditores independentes referentes ao último exercício social.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
08.397.078/0001-01;2024-12-31;2;139376;GSH CORP PARTICIPAÇÕES S.A.;125506;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2021-07-16;;2020-12-31;1. Auditoria sobre as demonstrações financeiras, individuais e consolidadas, da Companhia elaboradas de acordo com as práticas contábeis adotadas no Brasil e com as normas internacionais de relatório financeiro ("IFRS") para o exercício findo em 31 de dezembro de 2023.2 - Serviço de due diligence financeira, trabalhista, previdenciária e fiscal prestados no decorrer do exercício social encerrado em 31 dezembro de 2023.;No exercício social encerrado em 31 de dezembro de 2023, a Ernst &Young Auditores Independentes S.S. recebeu os seguintes valores como remuneração pelos serviços prestados à Companhia, suas controladas e/ou subsidiárias, conforme descritos acima:Serviços descritos no item 1 acima R$ 1.525.000,00Serviços descritos no item 2 acima R$ 419.825,07.;Não aplicável;Não aplicável
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;124199;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2021-01-01;;2021-04-20;i) auditoria das demonstrações financeiras individuais e consolidadas da Companhia referente ao exercício social encerrado em 31 de dezembro de 2023 (ii) revisão das informações trimestrais individuais e consolidadas da Companhia referente aos períodos findos em 31 de março, 30 de junho e 30 de setembro de 2023 (iii) auditoria das demonstrações financeiras individuais e consolidadas da Lojas Riachuelo S.A. referente ao exercício social encerrado em 31 de dezembro de 2023 e (iv) auditoria das demonstrações financeiras individuais da Midway S.A. - Crédito, Financiamento e Investimento referente ao exercício social encerrado em 30 de junho e 31 de dezembro de 2023.;Em relação ao exercício social encerrado em 31 de dezembro de 2023, os valores dos honorários relativos aos serviços "i" e 'ii" foram de R$ 1.355.226,01  ao serviço "iii" foi de R$ 773.752,19 e ao serviço "iv" foi de R$ 795.132,59;Não há.;Não há.
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;124021;GUIMARÃES & ASSOCIADOS AUDITORES INDEPENDENTES S/S;;35467968000107;005312;Nacional;2012-04-03;;2012-04-03;Nihill;Honorários no montante de R$ 15.000,00. Os Auditores Independentes não executa outros serviços, a não ser os de auditoria, conforme descrição do serviço contratado acima.;Nihill;Nihill
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;124022;Audilink & Cia. Auditores;;02163575000150;007056;Nacional;2016-07-20;;2016-07-20;Nihill;Honorários no montante de R$ 19.800,00. Os Auditores Independentes não executa outros serviços, a não ser os de auditoria, conforme descrição do serviço contratado acima.;Nihil;Nihill
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;124023;TADEU MANOEL RODRIGUES DE ARAÚJO;00596116268;;004677;Nacional;2022-03-24;;2022-03-24;Análise critica dos controles internos nas áreas financeiras, almoxarifado, contabilidade e administrativa. Exame das demonstrações financeiras, revisão dos controles internos, financeira, pessoal, contratação, patrimônio, almoxarifado, contabilidade e administrativa.;R$ 5.000,00 por trimestre.;Nhill;Nhill
08.439.659/0001-50;2024-12-31;5;141238;CPFL ENERGIAS RENOVÁVEIS S.A.;126259;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2022-04-01;;2022-04-01;Auditoria das Demonstrações Financeiras anuais societárias, revisão limitada das informações trimestrais societárias e auditoria das demonstrações financeiras anuais regulatórias.;O montante total da remuneração dos auditores independentes foi de R$ 968 mil referentes à auditoria societária, revisões trimestrais e auditoria regulatória para o exercício findo em 31/12/2023 e R$ 195 mil referentes a outros serviços.;Não houve substituição dos auditores independentes.;Não houve substituição dos auditores independentes.
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;127017;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2020-06-08;;2020-01-01;Os auditores independentes prestaram os seguintes serviços para a Companhia: (i) auditoria das informações contábeis intermediárias da Companhia referentes aos períodos encerrados em 31 de março, 30 de junho e 30 de setembro de 2024, 2023 e 2022 e (ii) auditoria das demonstrações contábeis anuais referentes ao exercício social encerrado em 31 de dezembro de 2023, 2022 e 2021.;Remuneração total pela prestação de serviços de auditoria no exercício de 2023: R$ 709.888,48;Não houve substituição de auditores no período.;N/A
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;124616;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2008-01-21;;2008-01-21;Pela prestação dos serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas da Companhia contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2015 e auditoria das demonstrações financeiras individual e consolidada da Companhia e de suas controladas para o exercício social encerrado em 31 de dezembro de 2015.;Pela prestação dos serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas da Companhia contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2015 e auditoria das demonstrações financeiras individual e consolidada da Companhia e de suas controladas para o exercício social encerrado em 31 de dezembro de 2015, a remuneração dos auditores correspondeu ao montante de R$1.142.161,27.A Deloitte também prestou serviços de Due Diligence em relação a processos de MampA no total de R$185.000,01 e serviços de auditoria contábil das demonstrações financeiras em USGAAS no valor de R$ 1.166.180,76.;Tendo em vista a Norma Brasileira de Contabilidade Técnica de Auditoria - NBC TA 600, emitida pelo Conselho Federal de Contabilidade em 27 de novembro de 2009, que torna o auditor responsável por todas as informações consolidadas do grupo econômico, conjugada com o artigo 31 da Instrução CVM nº 308 de 14 de maio de 1999, conforme alterada, que dispõe sobre a rotatividade dos auditores independentes a cada 5 (cinco) anos, sendo assim a mudança de auditores realizada pelos principais acionistas controladores da Companhia foi o fator que motivou a alteração de auditores da Companhia e de suas controladas.;Não se aplica
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;124617;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2012-07-01;;2012-07-01;Pela prestação dos serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas da Companhia contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2016 e 31 de março de 2017 e auditoria das demonstrações financeiras individual e consolidada da Companhia e de suas controladas para o exercício social encerrado em 31 de dezembro de 2016.;Pela prestação dos serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas da Companhia contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2016 e 31 de março de 2017 e auditoria das demonstrações financeiras individual e consolidada da Companhia e de suas controladas para o exercício social encerrado em 31 de dezembro de 2016, a remuneração dos auditores correspondeu ao montante de R$1.371.299,00.;Tendo em vista a Norma Brasileira de Contabilidade Técnica de Auditoria - NBC TA 600, emitida pelo Conselho Federal deContabilidade em 27 de novembro de 2009, que torna o auditor responsável por todas as informações consolidadas do grupo econômico, conjugada com o artigo 31 da Instrução CVM nº 308 de 14 de maio de 1999, conforme alterada, que dispõe sobre a rotatividade dos auditores independentes a cada 5 (cinco) anos, sendo assim a mudança de auditores realizada pelos principais acionistas controladores da Companhia foi o fator que motivou a alteração de auditores da Companhia e de suas controladas.ao exercício social encerrado em 31 de dezembro de 2016.;Não aplicável.
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;124618;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA;;61366936000478;004715;Nacional;2017-04-01;;2017-04-01;Pela prestação dos serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas daCompanhia contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos entre 30 de junho de 2017 e 31 de março de 2020 e auditoria das demonstrações financeiras individual e consolidadada Companhia e de suas controladas para os exercícios findos em 31 de dezembro de 2017, 2018 e 2019.;Pela prestação dos serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas daCompanhia contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos entre 30 de junho de 2017 e 31 de março de 2020 e auditoria das demonstrações financeiras individual e consolidadada Companhia e de suas controladas para os exercícios findos em 31 de dezembro de 2017, 2018 e 2019, a remuneração dosauditores corresponderá ao montante de R$2.397.666,00.;Não aplicável, pois não houve substituição de auditor em relação ao exercício social encerrado em 31 de dezembro de 2017.;Não aplicável.
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;124619;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2020-04-06;;2020-04-06;Serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas da Renova Energia S.A. ("Companhia") contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos entre 30 de junho de 2020 e 31 de março de 2022, de acordo com as práticas contábeis adotadas no Brasil e Normas Internacionais de Relatórios Financeiros (IFRS) de revisão de informações intermediárias, com emissão de relatório sobre a revisão de informações trimestrais (ii) auditoria das demonstrações financeiras individuais e consolidadas da Companhia e de suas controladas para os exercícios findos em 31 de dezembro de 2020 e 2021, de acordo com as práticas contábeis adotadas noBrasil e Normas Internacionais de Relatórios Financeiros ("IFRS"), com emissão de relatório sobre referida demonstração financeira (iii) Revisão das demonstrações financeiras para fins de suporte ao investimento da Renova Energia S.A. (iv) Asseguração limitada sobre a estrutura de controles para o processo de compilação e apuração dos índices financeiros. Não foram prestados serviços que não tivessem relação com os serviços de auditoria independente.Em 14/06/2022 esse contrato foi aditivado prorrogando sua vigência para o período de 01/07/2022 a 01/07/2025.Serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas da Renova Energia S.A. ("Companhia") contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos entre 30 de junho de 2022 e 31 de março de 2025, de acordo com as práticas contábeis adotadas no Brasil e Normas Internacionais de Relatórios Financeiros (IFRS) de revisão de informações intermediárias, com emissão de relatório sobre a revisão de informações trimestrais (ii) auditoria das demonstrações financeiras individuais e consolidadas da Companhia e de suas controladas para os exercícios findos em 31 de dezembro de 2022, 2023 e 2024, de acordo com as práticas contábeis adotadas no Brasil e Normas Internacionais de Relatórios Financeiros ("IFRS"), com emissão de relatório sobre referida demonstração financeira (iii) Revisão das demonstrações financeiras para fins de suporte ao investimento da Renova Energia S.A. Não foram prestados serviços que não tivessem relação com os serviços de auditoria independente;Contrato R$ 1.300.000,00 - Serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas da Renova Energia S.A. ("Companhia") contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos entre 30 de junho de 2020 e 31 de março de 2022, de acordo com as práticas contábeis adotadas no Brasil e Normas Internacionais de Relatórios Financeiros (IFRS) de revisão de informações intermediárias, com emissão de relatório sobre a revisão de informações trimestrais (ii) auditoria das demonstrações financeiras individuais e consolidadas da Companhia e de suas controladas para os exercícios findos em 31 de dezembro de 2020 e 2021, de acordo com as práticas contábeis adotadas noBrasil e Normas Internacionais de Relatórios Financeiros ("IFRS"), com emissão de relatório sobre referida demonstração financeira (iii) Revisão das demonstrações financeiras para fins de suporte ao investimento da Renova Energia S.A. (iv) Asseguração limitada sobre a estrutura de controles para o processo de compilação e apuração dos índices financeiros. Não foram prestados serviços que não tivessem relação com os serviços de auditoria independente.Aditivo R$ 2.100.000,00 - Em 14/06/2022 esse contrato foi aditivado prorrogando sua vigência para o período de 01/07/2022 a 01/07/2025.Serviços relacionados à: (i) revisão das informações contábeis intermediárias individuais e consolidadas da Renova Energia S.A. ("Companhia") contidas nos Formulários de Informações Trimestrais (ITR) relativos aos trimestres findos entre 30 de junho de 2022 e 31 de março de 2025, de acordo com as práticas contábeis adotadas no Brasil e Normas Internacionais de Relatórios Financeiros (IFRS) de revisão de informações intermediárias, com emissão de relatório sobre a revisão de informações trimestrais (ii) auditoria das demonstrações financeiras individuais e consolidadas da Companhia e de suas controladas para os exercícios findos em 31 de dezembro de 2022, 2023 e 2024, de acordo com as práticas contábeis adotadas no Brasil e Normas Internacionais de Relatórios Financeiros ("IFRS"), com emissão de relatório sobre referida demonstração financeira (iii) Revisão das demonstrações financeiras para fins de suporte ao investimento da Renova Energia S.A. Não foram prestados serviços que não tivessem relação com os serviços de auditoria independente.Montante total R$ 3.400.000,00;Não Aplicável;Não Aplicável
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;123745;CONVICTA AUDITORES INDEPENDENTES S/S LTDA;;03061922000105;007706;Nacional;2021-11-11;;2021-11-11;Serviços de Auditoria das Demonstrações Financeiras Intermediárias e Anuais da Celgpar.Serviços de Auditoria das Demonstrações Contábeis Regulatórias da Celgpar.;Valor anual de R$101.696,47 (cento e um mil, seiscentos e noventa e seis reais e quarenta e sete centavos), subdivididos em quatro parcelas iguais.;Rodízio de auditoria 5 anos;na
08.574.411/0001-00;2024-12-31;2;139904;PRÁTICA PRODUTOS S.A.;125951;RSM BRASIL AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES;;16549480000184;011878;Nacional;2021-03-24;;2021-03-24;Auditoria das demonstrações financeiras relativas ao exercício social encerrado em 31 de dezembro de 2023, todas preparadas de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) e as normas internacionais para relatórios financeiros (IFRS).;Total da remuneração paga no exercício social encerrado em 31 de dezembro de 2023: R$174 mil, sendo:1. Serviços de auditoria: R$174 mil.;Não aplicável.;Não aplicável.
08.613.550/0001-98;2024-12-31;3;141354;NEXPE PARTICIPAÇÕES S.A;126367;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2020-12-01;;2020-12-01;Auditoria das demonstrações contábeis individuais e consolidadas da Nexpe Participações S.A para o exercício a findar-se em 31 de dezembro de 2024 em conformidade com as normas internacionais IFRS ("International Financial Reporting Standards"). Revisão especial das informações contábeis individuais e consolidadas contidas nas Informações Trimestrais - ITR´s para os trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2024 (NBC TR 2410 e ISRE 2410).;A remuneração total para a prestação dos serviços é de R$ 150.000,00, observando como escopo contratual a revisão especial das informações contábeis individuais e consolidadas, contidas nas Informações Trimestrais - ITR´s, para os trimestres findos em 31 de março, em 30 de junho e em 30 de setembro de 2024, e para a auditoria das demonstrações contábeis individuais e consolidadas da Nexpe Participações S.A referente ao exercício social a findar-se em 31 de dezembro de 2024.;Rotatividade de 5 anos como previsto em instrução da CVM.;N/A
08.764.621/0001-53;2024-12-31;2;141273;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;126295;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2017-07-01;;2017-07-01;Para a emissora foram realizados trabalhos de auditoria das demonstrações financeiras ao exercício findo em 31 de dezembro de 2020 e revisão especial das informações trimestrais - ITR para os trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2021.;General Shopping e Outlets do Brasil S.A - Trabalhos de auditoria: R$ 449.272,14.;Alteração de auditor em concordância com o disposto no artigo 31 da ICVM 308/99, o qual determina a rotatividade dos auditores independentes a cada período de cinco anos.;Não aplicável.
08.764.621/0001-53;2024-12-31;2;141273;GENERAL SHOPPING E OUTLETS DO BRASIL BRASIL S.A.;126296;COTRIM & ASSOCIADOS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES;;51703924000195;006610;Nacional;2022-01-01;;2022-01-01;Para a emissora foram realizados trabalhos de auditoria das demonstrações financeiras ao exercício findo em 31 de dezembro de 2023 e das informações trimestrais - ITR para os trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2023.;General Shopping e Outlets do Brasil S.A - Trabalhos de auditoria: R$ 350.000,00.;Alteração de auditor em concordância com o disposto no artigo 31 da ICVM 308/99, o qual determina a rotatividade dos  auditores independentes a cada período de cinco anos.;Não aplicável.
08.769.451/0001-08;2024-12-31;3;139459;VIRGO COMPANHIA DE SECURITIZAÇÃO;125577;Veneziani Auditores Independentes;;53825600000155;002950;Nacional;2007-07-02;;2007-07-02;Auditoria externa das demonstrações financeiras;R$ 2.400,00 por ano.;Substituição obrigatória pelo prazo de 05 anos;Não aplicável
08.769.451/0001-08;2024-12-31;3;139459;VIRGO COMPANHIA DE SECURITIZAÇÃO;125578;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2013-01-01;;2013-01-01;Auditoria externa das demonstrações financeiras;R$ 31.235 por ano;Substituição de auditor em função da aquisição de outras empresas e melhoria de custo;Não aplicável
08.769.451/0001-08;2024-12-31;3;139459;VIRGO COMPANHIA DE SECURITIZAÇÃO;125579;BLB - AUDITORES INDEPENDENTES;;06096033000163;010855;Nacional;2017-01-01;;2017-01-01;Auditoria externa das demonstrações financeiras;R$ 12.667,00 por ano;Substituição obrigatória pelo prazo de 05 anos;Não aplicável
08.769.451/0001-08;2024-12-31;3;139459;VIRGO COMPANHIA DE SECURITIZAÇÃO;125580;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2021-12-08;;2022-01-01;Auditoria externa das demonstrações financeiras;R$ 52.530,00 por ano relativo a Auditoria externa das demonstrações financeiras e R$ 2.880,00 por Patrimônio Separado;Substituição obrigatória pelo prazo de 05 anos;Não aplicável
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;127200;Grant Thornton Auditores Independentes Ltda;;10830108000165;011274;Nacional;2024-09-02;;2024-09-27;Auditoria das demonstrações contábeis individuais e consolidadas da 2W Ecobank S.A, referentes ao exercício a findar-se em 31 de dezembro de 2024 e Revisão das informações contábeis intermediárias (informações trimestrais) das Companhias referentes aos trimestres a serem encerrados em 31/03, 30/06 e 30/09 de 2024, preparadas de acordo com as práticas contábeis adotadas no Brasil, com as normas internacionais de relatório financeiros (IFRS) e com as normas expedidas pela Comissão de Valores Mobiliários (CVM);R$ 134.000,00;Considerando que a KPMG Auditores Independentes S.A. ("KPMG"), foi contratada para a auditoria independente das informações trimestrais e demonstrações financeiras do exercício social encerrado em 31 de dezembro de 2023, cujos trabalhos devem encerrar nos próximos dias, a 2W Ecobank S.A. ("2W" / "Companhia") optou por contratar nova auditoria independente para a realização dos serviços de auditoria externa para as empresas pertencentes ao Grupo 2W, no tocante às informações trimestrais e demonstrações financeiras do exercício social em curso, conforme aprovado pelo Conselho de Administração;N/A
08.773.191/0001-36;2024-12-31;1;138411;BRASILIANA PARTICIPAÇÕES S/A;124518;GRANT THORNTON AUDITORES INDEPENDENTES LTDA;;10830108000327;011274;Nacional;2023-05-05;;2023-01-01;Ao longo do exercício de 2023, a Brasiliana Participações utilizou os serviços de auditoria independente da GT. Em 2023, os serviços prestados pela GT foram: (i) Auditoria e emissão de relatório sobre as demonstrações financeiras individuais e consolidadas da Companhia para o exercício findo em 31 de dezembro de 2023 (ii) revisão e emissão de relatório sobre as Informações Trimestrais (ITRs) requeridas pela Comissão de Valores Mobiliários para os trimestres findos em 31 de março, 30 de junho e 30 de setembro de 2023 (iii) auditoria das demonstrações financeiras intermediárias especificadas relativas aos exercícios findos em 30 de abril de 2023 e 31 de outubro de 2023, com a finalidade específica atender as instruções de auditoria enviada pelos auditores independentes do acionista BNDES Participações S.A. ("BNDESPAR").;A remuneração dos auditores independentes relativa aos serviços contratados pertinentes ao exercício social findo em 31 de dezembro de 2023 corresponde a R$ 64,7mil.;Não aplicável.;Não aplicável.
