CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
07.976.147/0001-60;2024-12-31;6;141890;MOVIDA LOCAÇÃO DE VEÍCULOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.42;4.42;0.190000;702619.00;0.00;213571.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;1.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.065.557/0001-12;2024-12-31;8;142032;TECNISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
08.078.847/0001-09;2024-12-31;2;139086;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.08;5.00;1.490000;3.89;5.11;0.00
08.078.847/0001-09;2024-12-31;2;139086;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.960000;3.89;0.00;0.00
08.078.847/0001-09;2024-12-31;2;139086;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.960000;3.89;0.00;0.00
08.078.847/0001-09;2024-12-31;2;139086;LPS BRASIL - CONSULTORIA DE IMOVEIS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;2.540000;3.25;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;5.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.000000;2.98;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;6.00;0.000000;2.10;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;6.00;0.000000;5.80;5.80;0.00
08.170.849/0001-15;2024-12-31;9;142021;DESKTOP S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.500000;5.32;0.00;5.48
08.170.849/0001-15;2024-12-31;9;142021;DESKTOP S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.16;5.16;1.000000;4.74;0.00;4.96
08.170.849/0001-15;2024-12-31;9;142021;DESKTOP S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.17;6.17;0.500000;0.00;0.00;4.60
08.170.849/0001-15;2024-12-31;9;142021;DESKTOP S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;6.00;6.00;0.400000;6.48;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;2.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;4.92;20.000000;4.60;0.00;3.95
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.000000;5.82;0.00;4.61
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.67;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.000000;7.05;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.67;0.00;0.000000;0.00;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;6.17;5.00;0.000000;6.43;0.00;0.00
08.294.224/0001-65;2024-12-31;3;140566;JHSF PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;2023-04-01;2024-03-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;2022-04-01;2023-03-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.92;1.00;323.000000;13.04;0.00;6.84
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;323.000000;13.04;0.00;6.84
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;286.000000;13.23;0.00;6.66
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.58;1.00;286.000000;13.23;0.00;6.66
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;1.00;305.000000;12.50;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.92;7.92;305.000000;12.50;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;1.00;305.000000;12.50;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;9.00;9.00;305.000000;12.50;0.00;0.00
08.397.078/0001-01;2024-12-31;2;139376;GSH CORP PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.000000;0.00;0.00;0.00
08.397.078/0001-01;2024-12-31;2;139376;GSH CORP PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0.180000;6.18;0.00;0.00
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.25;1.33;0.000000;0.00;4.51;0.00
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.402.943/0001-52;2024-12-31;1;138089;GUARARAPES CONFECCOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0.250000;6.26;0.00;0.00
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Diretoria Estatutária;9.00;1.00;318.000000;23.59;22.94;22.94
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;1.00;3.180000;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2021-01-01;2021-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2024-01-01;2024-12-31;Diretoria Estatutária;9.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;5.83;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;2.42;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;6.75;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;6.92;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;4.08;0.00;0.000000;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;4.75;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Conselho Fiscal;7.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0.000000;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.613.550/0001-98;2024-12-31;3;141354;NEXPE PARTICIPAÇÕES S.A;2023-01-01;2023-12-31;Diretoria Estatutária;1.00;1.00;1.410000;0.00;0.00;0.00
08.613.550/0001-98;2024-12-31;3;141354;NEXPE PARTICIPAÇÕES S.A;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;1.140000;0.00;0.00;0.00
08.613.550/0001-98;2024-12-31;3;141354;NEXPE PARTICIPAÇÕES S.A;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;1.250000;0.00;0.00;0.00
08.613.550/0001-98;2024-12-31;3;141354;NEXPE PARTICIPAÇÕES S.A;2024-01-01;2024-12-31;Diretoria Estatutária;1.00;1.00;1.410000;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;3.00;19.944000;1.39;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;9.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;3.00;19.944000;1.40;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;13.00;13.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;9.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.33;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.17;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.42;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.33;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;1.00;0.018000;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.83;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;1.00;0.018000;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.67;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;1.00;0.070000;14.18;14.18;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;8.33;0.00;0.000000;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;1.00;0.000000;14.53;0.00;18.63
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
09.041.168/0001-10;2024-12-31;7;141993;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2023-01-01;2023-12-31;Diretoria Estatutária;3.50;3.50;159.000000;23.14;0.00;0.00
09.041.168/0001-10;2024-12-31;7;141993;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;18.000000;24.74;0.00;0.00
09.041.168/0001-10;2024-12-31;7;141993;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;144.000000;22.67;26.32;2.18
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;4.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.30;3.30;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Conselho Fiscal;2.25;2.25;0.000000;0.00;0.00;0.00
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;4.00;128.000000;1.87;0.00;0.00
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;128.000000;1.87;0.00;0.00
