CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Quantidade_Acoes;Preco_Medio_Ponderado_Aquisicao;Preco_Medio_Ponderado_Mercado;Valor_Diferenca_Aquisicao_Mercado
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;6.00;0;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;6.00;0;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;6.00;0;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
08.159.965/0001-33;2024-12-31;5;141762;IGUA SANEAMENTO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;6.00;0;0.00;0.00;0.00
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;2023-04-01;2024-03-31;Diretoria Estatutária;3.00;0.00;0;0.00;0.00;0.00
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;2022-04-01;2023-03-31;Diretoria Estatutária;4.00;0.00;0;0.00;0.00;0.00
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;2021-04-01;2022-03-31;Diretoria Estatutária;4.00;0.00;0;0.00;0.00;0.00
08.322.396/0001-03;2024-03-31;4;139076;CERRADINHO BIOENERGIA S.A.;2020-04-01;2021-03-31;Diretoria Estatutária;4.00;0.00;0;0.00;0.00;0.00
08.324.196/0001-81;2024-12-31;6;141947;CIA ENERGETICA DO RIO GDE NORTE - COSERN;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;2.00;24400;15.34;15.34;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;0.00;0;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.58;0.00;0;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.92;0.00;0;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;0.00;0;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.92;0.00;0;0.00;0.00;0.00
08.343.492/0001-20;2024-12-31;6;141617;MRV ENGENHARIA E PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;2.58;0.00;0;0.00;0.00;0.00
08.397.078/0001-01;2024-12-31;2;139376;GSH CORP PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;7.00;2086587;0.00;5.49;-11455362.63
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;0.00;0;0.00;0.00;0.00
08.424.178/0001-71;2024-12-31;1;137890;TECBLU TECELAGEM BLUMENAU S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;0.00;0;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
08.467.115/0001-00;2024-12-31;5;141923;CIA ESTADUAL DE DISTRIB ENER ELET-CEEE-D;2023-01-01;2023-12-31;Diretoria Estatutária;9.00;1.00;14930;32.16;32.16;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;5.83;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;5.00;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;2.42;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;6.75;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;6.92;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;4.08;0.00;0;0.00;0.00;0.00
08.534.605/0001-74;2024-12-31;1;138514;RENOVA ENERGIA S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;4.75;0.00;0;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Conselho Fiscal;7.00;0.00;0;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
08.560.444/0001-93;2024-12-31;1;137654;CIA CELG DE PARTICIPACOES - CELGPAR;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
08.773.135/0001-00;2024-12-31;5;142093;2W ECOBANK S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;13.00;11.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.33;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.42;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.33;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.17;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;0.00;0;0.00;0.00;0.00
08.801.621/0001-86;2024-12-31;10;142152;SYN PROP & TECH S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.83;6.83;0;0.00;0.00;0.00
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;4.00;440848;0.00;12.72;-5607586.56
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.67;6.67;86898;0.00;16.82;-1461624.36
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;489230;0.00;15.71;-7685803.30
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2021-01-01;2021-12-31;Conselho de Administração;8.33;1.00;7135;0.00;29.92;-213479.20
08.807.432/0001-10;2024-12-31;3;141766;YDUQS PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;333172;0.00;28.50;-9495402.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2024-01-01;2024-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;0.00;0;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
08.811.643/0001-27;2024-12-31;4;141390;TRISUL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0;0.00;0.00;0.00
09.041.168/0001-10;2024-12-31;7;141993;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
09.041.168/0001-10;2024-12-31;7;141993;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;15349;22.36;25.30;-45126.06
09.041.168/0001-10;2024-12-31;7;141993;LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES;2023-01-01;2023-12-31;Diretoria Estatutária;3.50;3.50;621829;13.69;24.17;-6516767.92
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;4.00;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0;13.65;12.17;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.30;3.30;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;392500;13.75;17.20;-1354125.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;3.00;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;3.00;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
09.042.817/0001-05;2024-12-31;6;141829;BEMOBI MOBILE TECH S.A.;2024-01-01;2024-12-31;Conselho Fiscal;2.25;2.25;0;0.00;0.00;0.00
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;3.00;87729;9.99;0.00;876412.71
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;198741;9.99;0.00;1985422.59
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.00;2.00;0;0.00;0.00;0.00
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;0;0.00;0.00;0.00
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;4.00;163236;11.75;0.00;1918023.00
09.053.134/0001-45;2024-12-31;2;141379;ELFA MEDICAMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;384312;12.15;0.00;4669390.80
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;4.33;4.33;0;0.00;0.00;0.00
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho de Administração;4.25;2.96;0;0.00;0.00;0.00
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
09.112.685/0001-32;2024-12-31;2;138958;OSX BRASIL S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
09.114.805/0001-30;2024-12-31;3;140413;OCEANPACT SERVIÇOS MARITIMOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.67;5.67;250853;0.00;2.03;-509231.59
09.114.805/0001-30;2024-12-31;3;140413;OCEANPACT SERVIÇOS MARITIMOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;9.00;964200;0.00;2.29;-2208018.00
09.114.805/0001-30;2024-12-31;3;140413;OCEANPACT SERVIÇOS MARITIMOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;3.08;0.00;0;0.00;0.00;0.00
09.114.805/0001-30;2024-12-31;3;140413;OCEANPACT SERVIÇOS MARITIMOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;0.00;0;0.00;0.00;0.00
09.114.805/0001-30;2024-12-31;3;140413;OCEANPACT SERVIÇOS MARITIMOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;6.00;261981;0.00;5.38;-1409457.78
09.114.805/0001-30;2024-12-31;3;140413;OCEANPACT SERVIÇOS MARITIMOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;9.16;9.00;200000;0.00;6.16;-1232000.00
09.288.252/0001-32;2024-12-31;5;141714;ANIMA HOLDING S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.92;0.00;0;0.00;0.00;0.00
09.288.252/0001-32;2024-12-31;5;141714;ANIMA HOLDING S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
09.288.252/0001-32;2024-12-31;5;141714;ANIMA HOLDING S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;3.00;406972;5.97;7.48;-614527.72
09.288.252/0001-32;2024-12-31;5;141714;ANIMA HOLDING S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.58;0.00;0;0.00;0.00;0.00
09.288.252/0001-32;2024-12-31;5;141714;ANIMA HOLDING S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.92;4.00;79817;3.79;3.53;20752.42
09.288.252/0001-32;2024-12-31;5;141714;ANIMA HOLDING S.A.;2023-01-01;2023-12-31;Conselho Fiscal;2.92;0.00;0;0.00;0.00;0.00
09.295.063/0001-97;2024-12-31;4;141361;TECHNOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;1.00;850000;0.00;2.16;-1836000.00
09.295.063/0001-97;2024-12-31;4;141361;TECHNOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
09.295.063/0001-97;2024-12-31;4;141361;TECHNOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;1.00;850000;0.00;2.10;-1785000.00
09.295.063/0001-97;2024-12-31;4;141361;TECHNOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
09.295.063/0001-97;2024-12-31;4;141361;TECHNOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;0.00;0;0.00;0.00;0.00
09.295.063/0001-97;2024-12-31;4;141361;TECHNOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;1.00;850000;3.37;0.00;2864500.00
09.305.994/0001-29;2024-12-31;6;141662;AZUL S.A.;2021-01-01;2021-12-31;Conselho de Administração;11.00;10.75;0;0.00;0.00;0.00
09.305.994/0001-29;2024-12-31;6;141662;AZUL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;145486;42.67;23.86;2736591.66
09.305.994/0001-29;2024-12-31;6;141662;AZUL S.A.;2022-01-01;2022-12-31;Conselho de Administração;11.00;11.00;49684;42.67;11.01;1572995.44
09.305.994/0001-29;2024-12-31;6;141662;AZUL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;6414277;21.98;11.01;70364618.69
09.305.994/0001-29;2024-12-31;6;141662;AZUL S.A.;2023-01-01;2023-12-31;Conselho de Administração;11.25;11.25;12420;19.32;16.01;41110.20
09.305.994/0001-29;2024-12-31;6;141662;AZUL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;4.00;180443;19.32;16.01;597266.33
09.325.109/0001-73;2024-12-31;1;138210;AUTOPISTA PLANALTO SUL SA;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
09.325.109/0001-73;2024-12-31;1;138210;AUTOPISTA PLANALTO SUL SA;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
09.325.109/0001-73;2024-12-31;1;138210;AUTOPISTA PLANALTO SUL SA;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
09.325.109/0001-73;2024-12-31;1;138210;AUTOPISTA PLANALTO SUL SA;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
09.346.601/0001-25;2024-12-31;6;141975;B3 S.A. - BRASIL, BOLSA, BALCÃO;2022-01-01;2022-12-31;Conselho de Administração;10.58;10.58;0;0.00;0.00;0.00
09.346.601/0001-25;2024-12-31;6;141975;B3 S.A. - BRASIL, BOLSA, BALCÃO;2022-01-01;2022-12-31;Diretoria Estatutária;10.00;10.00;1887026;12.48;11.98;943513.00
09.346.601/0001-25;2024-12-31;6;141975;B3 S.A. - BRASIL, BOLSA, BALCÃO;2021-01-01;2021-12-31;Conselho de Administração;11.00;11.00;922284;8.65;17.27;-7950088.08
09.346.601/0001-25;2024-12-31;6;141975;B3 S.A. - BRASIL, BOLSA, BALCÃO;2021-01-01;2021-12-31;Diretoria Estatutária;8.25;8.25;5571288;7.68;19.67;-66799743.12
09.346.601/0001-25;2024-12-31;6;141975;B3 S.A. - BRASIL, BOLSA, BALCÃO;2023-01-01;2023-12-31;Conselho de Administração;10.75;10.75;328527;14.05;11.37;880452.36
09.346.601/0001-25;2024-12-31;6;141975;B3 S.A. - BRASIL, BOLSA, BALCÃO;2023-01-01;2023-12-31;Diretoria Estatutária;10.92;10.92;2268265;12.59;13.14;-1247545.75
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;0.00;0;0.00;0.00;0.00
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0;0.00;0.00;0.00
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.30;0.00;0;0.00;0.00;0.00
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
09.611.768/0001-76;2024-12-31;4;139312;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
09.813.204/0001-16;2024-12-31;1;138763;W2W E-COMMERCE DE VINHOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
09.813.204/0001-16;2024-12-31;1;138763;W2W E-COMMERCE DE VINHOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
09.813.204/0001-16;2024-12-31;1;138763;W2W E-COMMERCE DE VINHOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
09.813.204/0001-16;2024-12-31;1;138763;W2W E-COMMERCE DE VINHOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
09.813.204/0001-16;2024-12-31;1;138763;W2W E-COMMERCE DE VINHOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
